,ID,Followers,following,sn_len,ds_len,tweet_count,retweet_count,label,reputation,AgeOfAccount,TweetPerDay
8850,1.36892376780055E+018,109,339,12,148,16666,0,0,0.243303571428571,3143,4.90898379970545
8851,1.36892376703717E+018,1543,455,13,96,2496,0,0,0.772272272272272,1917,0.73519882179676
8852,1.36892376653799E+018,897,3386,15,100,40088,23,0,0.209432640672426,3052,11.8079528718704
8853,1.36892376535108E+018,665,755,9,123,8513,53,0,0.46830985915493,3237,2.50751104565538
8854,1.36892376527971E+018,70,196,11,0,58453,65,0,0.263157894736842,2726,17.2173784977909
8855,1.36892376358942E+018,19,282,8,38,317,944,0,0.06312292358804,41,0.093372606774669
8856,1.36892376148385E+018,579,332,10,25,35715,214,0,0.63556531284303,3544,10.519882179676
8857,1.36892376119451E+018,12577,1210,13,157,2485,29,0,0.912236164502792,2443,0.731958762886598
8858,1.36892375908897E+018,16,55,7,138,5778,0,0,0.225352112676056,1207,1.7019145802651
8859,1.36892375722252E+018,398,633,9,160,30979,1,0,0.386032977691562,3350,9.12488954344624
8860,1.36892375583001E+018,130,183,8,94,18737,1224,0,0.415335463258786,95,5.51899852724595
8861,1.36892375569991E+018,2568,4978,11,0,383149,3,0,0.340312748476014,2062,112.856848306333
8862,1.36892375364478E+018,465,972,13,0,61199,1632,0,0.323590814196242,2034,18.0262150220913
8863,1.36892375325469E+018,6222,252,8,131,5019,0,0,0.961075069508805,2341,1.47835051546392
8864,1.36892375076746E+018,92,706,11,101,618,5,0,0.115288220551378,4331,0.182032400589102
8865,1.36892374736589E+018,177,216,12,148,26763,0,0,0.450381679389313,334,7.88306332842415
8866,1.36892374498772E+018,5456,3930,12,153,120861,0,0,0.581291284892393,3584,35.59970544919
8867,1.36892374300368E+018,3845,4293,8,144,560897,39,0,0.472474809535512,1497,165.212665684831
8868,1.36892374077663E+018,32,81,8,128,35,3,1,0.283185840707965,2999,0.010309278350516
8869,1.36892374071774E+018,1,18,15,17,2,2646,0,0.052631578947369,12,0.000589101620029
8870,1.36892374005936E+018,1805,4987,14,0,371050,938,0,0.26575382803298,4333,109.293078055965
8871,1.36892373989165E+018,4070,2566,11,152,56677,1,0,0.61332127787824,4357,16.6942562592047
8872,1.36892373803776E+018,38,32,14,25,2159,0,0,0.542857142857143,3443,0.635935198821797
8873,1.36892373778185E+018,203,451,15,145,119420,0,0,0.31039755351682,3250,35.1752577319588
8874,1.36892373683395E+018,2334,1718,13,158,12645,1,0,0.576011846001974,4430,3.72459499263623
8875,1.3689237365529E+018,4774,5224,11,30,27890,51,0,0.47749549909982,1783,8.21502209131075
8876,1.36892373655279E+018,3845,4293,8,144,560897,81,0,0.472474809535512,1497,165.212665684831
8877,1.36892373635998E+018,1127,1086,11,151,32043,65,0,0.509263443289652,1498,9.43829160530192
8878,1.36892373536175E+018,495,823,9,49,2240,3,0,0.37556904400607,4185,0.65979381443299
8879,1.36892373348696E+018,319,1578,13,138,14809,0,0,0.168160253031102,2247,4.3620029455081
8880,1.36892373343649E+018,12925,112,13,152,38234,3,0,0.99140906650303,2773,11.2618556701031
8881,1.36892373284103E+018,87833,413,6,76,275200,0,0,0.995319901185323,4384,81.060382916053
8882,1.36892373282837E+018,814,548,12,160,74167,2,0,0.597650513950073,4152,21.8459499263623
8883,1.36892373193919E+018,495835,3434,5,151,274464,0,0,0.993121944282541,4927,80.8435935198822
8884,1.36892373175463E+018,9155,4614,15,109,14394,1,0,0.664899411721984,4171,4.23976435935199
8885,1.36892372853342E+018,350,136,8,55,2547,13,0,0.720164609053498,496,0.750220913107511
8886,1.36892372767785E+018,122755,459,10,103,237987,0,0,0.99627477397049,4391,70.099263622975
8887,1.36892372758136E+018,714,918,12,54,17386,3,0,0.4375,2327,5.12106038291605
8888,1.36892372644885E+018,3574,4437,12,168,240764,4,0,0.446136562226938,4328,70.9172312223859
8889,1.36892372626848E+018,13,21,12,150,168,3,0,0.382352941176471,507,0.049484536082474
8890,1.36892372334506E+018,3031,2790,11,104,84578,279,0,0.520700910496478,4424,24.9125184094256
8891,1.36892372269486E+018,645,656,13,122,23361,0,0,0.495772482705611,2450,6.88100147275405
8892,1.36892372264466E+018,121,399,10,42,27545,1,0,0.232692307692308,4033,8.11340206185567
8893,1.36892372256073E+018,12510,3943,12,97,10950,0,0,0.760347656962256,4356,3.22533136966127
8894,1.36892372118923E+018,494,1267,8,158,2548,0,0,0.280522430437252,3559,0.750515463917526
8895,1.36892372054321E+018,240,285,12,89,3202,3,0,0.457142857142857,1310,0.943151693667157
8896,1.36892371776662E+018,199,110,15,44,441,0,0,0.644012944983819,778,0.129896907216495
8897,1.36892371716685E+018,39,353,12,44,864,7,0,0.099489795918367,13,0.254491899852725
8898,1.36892371702418E+018,508,723,8,58,96080,195,0,0.412672623883022,3953,28.300441826215
8899,1.36892371662993E+018,254,203,9,91,21779,55,0,0.555798687089716,285,6.41502209131075
8900,1.36892371595889E+018,344,557,14,6,45870,65,0,0.381798002219756,3064,13.5110456553756
8901,1.36892371566953E+018,78,579,14,0,18488,1224,0,0.118721461187215,274,5.44565537555228
8902,1.36892371561916E+018,40,34,13,0,2682,0,0,0.540540540540541,3719,0.789985272459499
8903,1.36892371522475E+018,223,426,12,62,47958,2573,0,0.343605546995377,4443,14.1260677466863
8904,1.36892371519971E+018,300,1609,10,0,41450,1066,0,0.157150340492404,3190,12.2091310751105
8905,1.368923713132E+018,297,958,11,155,1447,4,1,0.236653386454183,3622,0.426215022091311
8906,1.36892371210437E+018,382,344,10,87,6675,1,0,0.526170798898072,3796,1.96612665684831
8907,1.36892371051466E+018,94176,1632,10,123,30079,0,0,0.982965931863727,4459,8.85979381443299
8908,1.36892370955845E+018,321,667,14,133,798,38,0,0.324898785425101,912,0.235051546391753
8909,1.36892370954578E+018,194,348,14,134,424,722,0,0.357933579335793,1263,0.124889543446244
8910,1.36892370929002E+018,2328,444,8,107,50520,0,0,0.83982683982684,2096,14.880706921944
8911,1.36892370835876E+018,2,5,8,7,1295,647,0,0.285714285714286,57,0.381443298969072
8912,1.36892370817001E+018,960,2463,7,156,19134,0,0,0.28045574057844,4347,5.6359351988218
8913,1.3689237078345E+018,1619,803,11,74,4964,1,0,0.668455821635012,4402,1.46215022091311
8914,1.36892370090141E+018,1270,1807,13,143,3788,22,0,0.412739681507962,2835,1.11575846833579
8915,1.36892369887975E+018,8039,8150,15,146,295422,795,0,0.496571746247452,3089,87.0167893961708
8916,1.36892369784374E+018,2396,3886,11,153,44666,10,0,0.381407195160777,3982,13.1564064801178
8917,1.36892369769688E+018,902,369,13,137,1559,136,0,0.709677419354839,2227,0.45920471281296
8918,1.36892369303706E+018,407,856,13,152,53585,275,0,0.322248614410135,211,15.7835051546392
8919,1.36892369279795E+018,455,1486,10,52,88286,1308,0,0.2344152498712,4621,26.0047128129602
8920,1.36892369274348E+018,7,26,7,0,2315,3377,0,0.212121212121212,419,0.681885125184094
8921,1.36892369070505E+018,24653,16,13,82,8688,0,0,0.999351412704204,1556,2.55905743740795
8922,1.3689236904366E+018,13788,805,8,51,85560,1,0,0.944836565476598,4426,25.2017673048601
8923,1.3689236873914E+018,5,250,6,21,1034,1112,0,0.019607843137255,1126,0.304565537555228
8924,1.3689236871357E+018,5798,5907,12,146,48177,0,0,0.495343870140965,3690,14.1905743740795
8925,1.3689236840654E+018,14858,15820,12,145,16449,945,0,0.484321011799987,3051,4.84506627393225
8926,1.36892368316363E+018,25084,2640,13,157,15874,10,0,0.904775645649978,3428,4.67569955817379
